Date,Open,High,Low,Close,Adj Close,Volume,RSI,MACD,MACD_Signal,MACD_Histogram
2023-04-10,1774.0,1812.699951,1760.599976,1797.25,1795.453857,4197975,49.12799056346877,-53.010994671747994,18.77799088660018,-71.78898555834817
2023-04-11,1810.0,1829.0,1792.849976,1803.150024,1801.348022,2883672,49.46858570460129,-45.00417133570568,21.427851378114,-66.43202271381968
2023-04-12,1814.0,1858.75,1797.050049,1847.25,1845.404053,4809035,52.05259415054264,-34.700204296518905,25.385454733840618,-60.08565903035952
2023-04-13,1855.0,1885.0,1826.050049,1870.75,1868.880493,3402280,53.41953734009817,-24.35720784933278,28.582760944821395,-52.939968794154176
2023-04-17,1870.75,1904.900024,1847.0,1878.75,1876.872559,2983032,53.90135237016438,-15.337968947983882,30.081599876936238,-45.41956882492012
2023-04-18,1892.0,1902.75,1830.0,1850.949951,1849.10022,2542401,51.89261855897395,-10.31448974096702,28.084063267162477,-38.3985530081295
2023-04-19,1847.0,1877.699951,1835.0,1853.849976,1851.997437,2455884,52.09318620592691,-6.029830365202088,25.894978114341928,-31.924808479544016
2023-04-20,1855.0,1878.900024,1836.849976,1842.900024,1841.05835,2016823,51.22477704740821,-3.4776879327341703,22.757696437447876,-26.235384370182047
2023-04-21,1846.0,1853.25,1796.050049,1803.0,1801.198242,2090833,48.07956705385342,-4.621422267037133,17.291169682515932,-21.912591949553065
2023-04-24,1804.0,1817.400024,1775.800049,1801.949951,1800.14917,1963582,47.99604596975134,-5.548609232465196,13.091186173670295,-18.63979540613549
2023-04-25,1806.0,1913.75,1801.800049,1844.599976,1842.756592,5364841,51.66853055614455,-2.8095245560061812,12.664216680103447,-15.473741236109628
2023-04-26,1854.0,1874.0,1826.400024,1847.900024,1846.053345,2422711,51.95127309362985,-0.3682489769455515,12.084393807331262,-12.452642784276813
2023-04-27,1848.0,1864.949951,1832.550049,1853.050049,1851.198242,1782360,52.419081196397705,1.9594560947052742,11.529679103185671,-9.570223008480397
2023-04-28,1868.050049,1944.0,1857.150024,1924.949951,1923.026245,6159130,58.494730983885596,9.496431383380923,15.253323513489056,-5.756892130108133
2023-05-02,1935.0,1966.0,1908.0,1919.849976,1917.931396,3813963,57.929682790498916,14.88641194991169,16.51464326401586,-1.6282313141041684
2023-05-03,1919.0,1940.0,1785.349976,1839.0,1837.162231,5849432,49.728594961185664,12.490114741924117,11.294676844822629,1.195437897101489
2023-05-04,1839.050049,1935.0,1839.050049,1911.25,1909.339966,4842127,55.756451452597666,16.233869183051183,12.030745028759755,4.203124154291428
2023-05-05,1954.800049,1955.0,1903.150024,1920.300049,1918.380981,6137744,56.460692221996936,19.70394999951236,12.400660676176745,7.3032893233356155
2023-05-08,1920.300049,1926.900024,1876.0,1887.5,1885.61377,2835197,53.15814329856818,19.581599721816474,9.822648318784687,9.758951403031787
2023-05-09,1900.0,1930.0,1889.099976,1896.099976,1894.205078,2700563,53.91922325154291,19.948627080068036,8.151740541628998,11.796886538439038
2023-05-10,1899.0,1914.900024,1883.949951,1892.150024,1890.259155,1970906,53.489347700583075,19.693753459552227,6.3174935368905505,13.376259922661676
2023-05-11,1925.0,2013.75,1910.0,1984.650024,1982.666748,8835941,61.27544985795393,26.648553290093332,10.617834693945323,16.03071859614801
2023-05-12,2009.0,2010.0,1946.550049,1964.699951,1962.736572,3816201,58.98207445649515,30.202324504448143,11.337284726640107,18.865039777808036
2023-05-15,1959.900024,1964.699951,1880.0,1916.050049,1914.135376,4836782,53.70353602689039,28.761528293421634,7.917190812490876,20.844337480930758
2023-05-16,1927.0,1935.0,1881.0,1889.150024,1887.262207,3058799,50.98644746038826,25.159061708789295,3.45177938228683,21.707282326502465
2023-05-17,1900.0,1919.949951,1857.75,1899.5,1897.601807,3632797,51.99286465280717,22.875542536113926,0.9346081676891664,21.94093436842476
2023-05-18,1910.050049,1924.0,1877.199951,1890.0,1888.111206,2437396,50.95856121343745,20.06793586195363,-1.4983988051769046,21.566334667130533
2023-05-19,1888.0,1983.0,1872.099976,1956.050049,1954.095337,7541150,57.31627226072978,22.908499375224665,1.073731766475305,21.83476760874936
2023-05-22,2010.0,2347.0,1983.400024,2326.100098,2323.775635,26311368,76.04977977922111,54.39260860784202,26.046272799274128,28.346335808567893
2023-05-23,2410.899902,2759.449951,2400.0,2633.699951,2631.068115,28432888,82.80533242537814,102.97766697974612,59.70506493694258,43.27260204280354
2023-05-24,2709.0,2750.0,2425.350098,2475.600098,2473.126221,23465761,71.62296644093004,127.25739490098454,67.18783428654478,60.069560614439744
2023-05-25,2440.0,2558.800049,2386.649902,2537.449951,2534.914063,8434009,73.15054235983624,149.76363844154457,71.75526226168385,78.00837617986072
2023-05-26,2565.0,2599.949951,2535.149902,2544.350098,2541.807373,3963515,73.32307684094685,166.240466179117,70.58567199940501,95.65479417971198
2023-05-29,2570.0,2583.5,2523.0,2534.050049,2531.517578,2779432,72.57338395503253,176.43352712246724,64.6229863542042,111.81054076826304
2023-05-30,2529.300049,2554.149902,2475.149902,2496.449951,2493.955078,1736953,69.76898694564137,179.4094670282543,54.079141007993,125.33032602026131
2023-05-31,2482.0,2573.0,2428.0,2493.350098,2490.858643,4268439,69.53043997547407,179.44920982591384,43.29510704452201,136.15410278139183
2023-06-01,2499.899902,2560.0,2485.300049,2492.149902,2489.659424,1704946,69.431456312441,177.33959997421243,32.94839775425646,144.39120221995597
2023-06-02,2535.0,2538.899902,2425.0,2445.050049,2442.606689,5543791,65.49120788505998,169.90855440978294,20.413881751861567,149.49467265792137
2023-06-05,2463.199951,2514.0,2428.0,2433.949951,2431.517578,2956768,64.5613177073106,161.2647524386798,9.416063824606738,151.84868861407307
2023-06-06,2475.0,2506.949951,2425.899902,2433.649902,2431.218018,6473608,64.53464349342653,152.63083242783068,0.6257150510060683,152.00511737682461
2023-06-07,2453.0,2466.949951,2435.0,2439.550049,2437.112305,2522516,64.84225009212037,144.59764947428357,-5.925974322032829,150.5236237963164
2023-06-08,2450.0,2475.899902,2369.050049,2429.149902,2426.722412,3781621,63.79193781529598,135.82636734857851,-11.757805158190308,147.58417250676882
2023-06-09,2447.949951,2458.899902,2428.0,2451.149902,2448.700439,1948506,65.08047392081762,129.16138713785722,-14.73822829512929,143.8996154329865
2023-06-12,2460.0,2505.0,2432.600098,2484.800049,2482.316895,2804898,67.01408368688801,125.15195411649029,-14.998129053196976,140.15008316968726
2023-06-13,2499.0,2505.0,2442.199951,2462.550049,2460.089355,2210990,64.4719463781129,118.80949856850793,-17.072467680943475,135.8819662494514
2023-06-14,2469.899902,2484.800049,2452.350098,2457.149902,2454.69458,1364403,63.83898221011602,112.05560288198603,-19.06109069397229,131.11669357595832
2023-06-15,2469.0,2527.0,2462.899902,2485.649902,2483.165771,3744029,65.75011732907171,107.76060651354874,-18.684869649927677,126.44547616347641
2023-06-16,2499.199951,2526.899902,2487.399902,2509.600098,2507.092041,7999982,67.31350951194831,105.0780967147607,-17.093903558972585,122.17200027373329
2023-06-19,2504.0,2521.600098,2350.0,2401.399902,2399.000244,11475674,55.08102855234914,93.1475893941747,-23.219528703646887,116.36711809782159
2023-06-20,2435.0,2435.0,2390.0,2414.800049,2412.386719,2479711,56.14396638301944,83.80777242910926,-26.04747653496986,109.85524896407912
2023-06-21,2426.699951,2440.0,2393.100098,2405.949951,2403.545654,7418013,55.2146668528216,74.82918696156139,-28.020849602014195,102.85003656357559
2023-06-22,2425.100098,2449.949951,2360.0,2397.25,2394.854248,8459191,54.263807461973016,66.24791522531723,-29.281697070606697,95.52961229592393
2023-06-23,2392.300049,2392.300049,2163.300049,2233.550049,2231.318115,15213238,40.226339340821596,45.71104908181678,-39.85485057128572,85.5658996531025
2023-06-26,2210.050049,2336.449951,2173.050049,2295.600098,2293.306152,7847341,45.93546086999922,34.049849612330036,-41.212840032617976,75.26268964494801
